Num,Partija,Zimes,Procenti,Grozitas,Negrozitas,Apgabals
1,"Latvijas attīstībai",2086,0.69%,1147,939,"Riga"
2,"SUVERENITĀTE",275,0.09%,185,90,"Riga"
3,"Partija Brīvība. Brīvs no bailēm, naida un dusmām",394,0.13%,164,230,"Riga"
4,"Partija VIENOTĪBA",62888,20.75%,44606,18282,"Riga"
5,"POLITISKĀ PARTIJA IZAUGSME",363,0.12%,188,175,"Riga"
6,"Partija Vienoti Latvijai",3550,1.17%,2815,735,"Riga"
7,"Nacionālā apvienība Visu Latvijai!-Tēvzemei un Brīvībai/LNNK",47842,15.78%,28762,19080,"Riga"
8,"Latvijas Reģionu Apvienība",22766,7.51%,19825,2941,"Riga"
9,"Jaunā konservatīvā partija",2321,0.77%,1770,551,"Riga"
10,"Latvijas Krievu savienība",5096,1.68%,3364,1732,"Riga"
11,"Saskaņa sociāldemokrātiskā partija",111324,36.73%,67103,44221,"Riga"
12,"Zaļo un Zemnieku savienība",25568,8.44%,12974,12594,"Riga"
13,"No sirds Latvijai",17159,5.66%,13171,3988,"Riga"
1,"Latvijas attīstībai",3104,1.23%,2159,945,"Vidzeme"
2,"SUVERENITĀTE",260,0.10%,123,137,"Vidzeme"
3,"Partija Brīvība. Brīvs no bailēm, naida un dusmām",567,0.22%,222,345,"Vidzeme"
4,"Partija VIENOTĪBA",65359,25.85%,44393,20966,"Vidzeme"
5,"POLITISKĀ PARTIJA IZAUGSME",693,0.27%,502,191,"Vidzeme"
6,"Partija Vienoti Latvijai",2962,1.17%,2006,956,"Vidzeme"
7,"Nacionālā apvienība Visu Latvijai!-Tēvzemei un Brīvībai/LNNK",51261,20.28%,33949,17312,"Vidzeme"
8,"Latvijas Reģionu Apvienība",19069,7.54%,13469,5600,"Vidzeme"
9,"Jaunā konservatīvā partija",1680,0.66%,957,723,"Vidzeme"
10,"Latvijas Krievu savienība",1791,0.71%,972,819,"Vidzeme"
11,"Saskaņa sociāldemokrātiskā partija",31413,12.43%,17351,14062,"Vidzeme"
12,"Zaļo un Zemnieku savienība",54699,21.64%,32563,22136,"Vidzeme"
13,"No sirds Latvijai",18362,7.26%,9346,9016,"Vidzeme"
1,"Latvijas attīstībai",712,0.67%,388,324,"Latgale"
2,"SUVERENITĀTE",206,0.19%,141,65,"Latgale"
3,"Partija Brīvība. Brīvs no bailēm, naida un dusmām",247,0.23%,126,121,"Latgale"
4,"Partija VIENOTĪBA",16187,15.28%,11963,4224,"Latgale"
5,"POLITISKĀ PARTIJA IZAUGSME",104,0.10%,53,51,"Latgale"
6,"Partija Vienoti Latvijai",1709,1.61%,1265,444,"Latgale"
7,"Nacionālā apvienība Visu Latvijai!-Tēvzemei un Brīvībai/LNNK",5442,5.14%,3047,2395,"Latgale"
8,"Latvijas Reģionu Apvienība",4025,3.80%,2951,1074,"Latgale"
9,"Jaunā konservatīvā partija",650,0.61%,408,242,"Latgale"
10,"Latvijas Krievu savienība",4970,4.69%,2950,2020,"Latgale"
11,"Saskaņa sociāldemokrātiskā partija",41884,39.54%,26128,15756,"Latgale"
12,"Zaļo un Zemnieku savienība",19714,18.61%,14735,4979,"Latgale"
13,"No sirds Latvijai",9070,8.56%,4431,4639,"Latgale"
1,"Latvijas attīstībai",796,0.69%,350,446,"Kurzeme"
2,"SUVERENITĀTE",111,0.10%,57,54,"Kurzeme"
3,"Partija Brīvība. Brīvs no bailēm, naida un dusmām",308,0.27%,125,183,"Kurzeme"
4,"Partija VIENOTĪBA",23034,19.85%,15149,7885,"Kurzeme"
5,"POLITISKĀ PARTIJA IZAUGSME",121,0.10%,53,68,"Kurzeme"
6,"Partija Vienoti Latvijai",980,0.84%,490,490,"Kurzeme"
7,"Nacionālā apvienība Visu Latvijai!-Tēvzemei un Brīvībai/LNNK",21239,18.31%,12275,8964,"Kurzeme"
8,"Latvijas Reģionu Apvienība",6705,5.78%,3602,3103,"Kurzeme"
9,"Jaunā konservatīvā partija",736,0.63%,405,331,"Kurzeme"
10,"Latvijas Krievu savienība",575,0.50%,365,210,"Kurzeme"
11,"Saskaņa sociāldemokrātiskā partija",10307,8.88%,6754,3553,"Kurzeme"
12,"Zaļo un Zemnieku savienība",41840,36.06%,23326,18514,"Kurzeme"
13,"No sirds Latvijai",8369,7.21%,2967,5402,"Kurzeme"
1,"Latvijas attīstībai",1410,1.11%,742,668,"Zemgale"
2,"SUVERENITĀTE",169,0.13%,89,80,"Zemgale"
3,"Partija Brīvība. Brīvs no bailēm, naida un dusmām",207,0.16%,94,113,"Zemgale"
4,"Partija VIENOTĪBA",29596,23.24%,18036,11560,"Zemgale"
5,"POLITISKĀ PARTIJA IZAUGSME",229,0.18%,118,111,"Zemgale"
6,"Partija Vienoti Latvijai",1519,1.19%,1004,515,"Zemgale"
7,"Nacionālā apvienība Visu Latvijai!-Tēvzemei un Brīvībai/LNNK",24219,19.01%,15246,8973,"Zemgale"
8,"Latvijas Reģionu Apvienība",6775,5.32%,3806,2969,"Zemgale"
9,"Jaunā konservatīvā partija",909,0.71%,533,376,"Zemgale"
10,"Latvijas Krievu savienība",1912,1.50%,1283,629,"Zemgale"
11,"Saskaņa sociāldemokrātiskā partija",14411,11.31%,7446,6965,"Zemgale"
12,"Zaļo un Zemnieku savienība",35738,28.06%,20158,15580,"Zemgale"
13,"No sirds Latvijai",9306,7.31%,3071,6235,"Zemgale"
