PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
1,"Andris Vilks",2,12301,1689,60091,ievēlēts,11,1,1,49479
2,"Ojārs Ēriks Kalniņš",7,8252,2104,55627,ievēlēts,11,1,1,49479
3,"Andrejs Judins",4,6895,1807,54567,ievēlēts,11,1,1,49479
4,"Ilze Viņķele",11,7401,2731,54149,ievēlēts,11,1,1,49479
5,"Andris Buiķis",6,6778,2685,53572,ievēlēts,11,1,1,49479
6,"Inguna Rībena",9,7324,3682,53121,ievēlēts,11,1,1,49479
7,"Lolita Čigāne",3,7934,4774,52639,"",11,1,1,49479
8,"Rasma Kārkliņa",8,4953,2004,52428,"",11,1,1,49479
9,"Veiko Spolītis",33,2390,2088,49781,"",11,1,1,49479
10,"Uģis Rotbergs",10,2230,2206,49503,"",11,1,1,49479
11,"Hosams Abu Meri",16,4840,5044,49275,"",11,1,1,49479
12,"Kārlis Strēlis",15,2311,2576,49214,"",11,1,1,49479
13,"Inese Kalniņa",13,1754,2026,49207,"",11,1,1,49479
14,"Jānis Mārtiņš Zandbergs",22,1778,2082,49175,"",11,1,1,49479
15,"Ervins Labanovskis",25,1828,2233,49074,"",11,1,1,49479
16,"Mārcis Gobiņš",24,1563,2008,49034,"",11,1,1,49479
17,"Mārtiņš Reinis Sausiņš",5,2258,2704,49033,"",11,1,1,49479
18,"Kārlis Līdaks",20,1713,2187,49005,"",11,1,1,49479
19,"Jānis Bērziņš",21,1528,2049,48958,"",11,1,1,49479
20,"Sarmīte Veide",12,2038,2683,48834,"",11,1,1,49479
21,"Juris Plēsums",31,1431,2143,48767,"",11,1,1,49479
22,"Dace Balode",18,1394,2150,48723,"",11,1,1,49479
23,"Sanita Stelpe",14,1190,2185,48484,"",11,1,1,49479
24,"Ieva Margeviča",26,1090,2185,48384,"",11,1,1,49479
25,"Uldis Plūmīte",29,1058,2153,48384,"",11,1,1,49479
26,"Edgars Engīzers",30,1176,2301,48354,"",11,1,1,49479
27,"Ivars Bandonis",28,1063,2222,48320,"",11,1,1,49479
28,"Uvis Toms",23,985,2163,48301,"",11,1,1,49479
29,"Inese Muhka",19,1254,2449,48284,"",11,1,1,49479
30,"Valdis Šakars",32,1039,2237,48281,"",11,1,1,49479
31,"Uģis Resnis",17,1128,2559,48048,"",11,1,1,49479
32,"Kristīne Jučkoviča",27,920,2405,47994,"",11,1,1,49479
33,"Ģirts Valdis Kristovskis",1,8592,14531,43540,"",11,1,1,49479
1,"Valdis Dombrovskis",1,45228,763,107581,ievēlēts,11,1,2,63116
2,"Artis Pabriks",2,19376,4493,77999,ievēlēts,11,1,2,63116
3,"Ilma Čepāne",3,17617,3518,77215,ievēlēts,11,1,2,63116
4,"Ainars Latkovskis",4,9799,3290,69625,ievēlēts,11,1,2,63116
5,"Ina Druviete",5,10301,5933,67484,ievēlēts,11,1,2,63116
6,"Dzintars Ābiķis",6,7453,6835,63734,ievēlēts,11,1,2,63116
7,"Edvards Smiltēns",7,4279,3667,63728,ievēlēts,11,1,2,63116
8,"Ingmārs Čaklais",9,4644,5461,62299,"",11,1,2,63116
9,"Arvils Ašeradens",8,3362,4842,61636,"",11,1,2,63116
10,"Andis Caunītis",12,2057,3596,61577,"",11,1,2,63116
11,"Liene Liepiņa",11,2766,4332,61550,"",11,1,2,63116
12,"Ilze Vergina",10,2436,4082,61470,"",11,1,2,63116
13,"Astrīda Harju",15,2216,4073,61259,"",11,1,2,63116
14,"Ainārs Šteins",13,2023,3910,61229,"",11,1,2,63116
15,"Viesturs Zariņš",23,1414,3546,60984,"",11,1,2,63116
16,"Pēteris Ontužāns",18,1777,4080,60813,"",11,1,2,63116
17,"Jānis Siliņš",20,1605,4012,60709,"",11,1,2,63116
18,"Mārtiņš Bojārs",16,1849,4261,60704,"",11,1,2,63116
19,"Aivars Veiss",17,1290,3731,60675,"",11,1,2,63116
20,"Juris Žūriņš",14,1833,4292,60657,"",11,1,2,63116
21,"Andris Grafs",27,1337,3831,60622,"",11,1,2,63116
22,"Juris Jerums",29,1265,3831,60550,"",11,1,2,63116
23,"Ilgonis Leišavnieks",19,1394,3985,60525,"",11,1,2,63116
24,"Normunds Orleāns",25,1406,4022,60500,"",11,1,2,63116
25,"Gints Sūna",22,1152,3774,60494,"",11,1,2,63116
26,"Ivo Skudiķis",24,924,4040,60000,"",11,1,2,63116
27,"Igors Aleksandrovs",28,1485,5535,59066,"",11,1,2,63116
28,"Marika Gladkija",21,952,5038,59030,"",11,1,2,63116
29,"Harijs Ozols",26,2602,6937,58781,"",11,1,2,63116
30,"Modris Jaunups",30,2209,8209,57116,"",11,1,2,63116
1,"Aleksejs Loskutovs",2,4497,710,15395,ievēlēts,11,1,3,11608
