Valid,Modified,Unmodified,District,Saeima,Party
85832,57663,28169,Rīga,10,2
110194,86794,23400,Vidzeme,10,2
19231,13776,5455,Latgale,10,2
38383,23522,14861,Kurzeme,10,2
47789,30569,17220,Zemgale,10,2
117064,77722,39342,Rīga,10,4
38873,19160,19713,Vidzeme,10,4
59281,33369,25912,Latgale,10,4
15534,10149,5385,Kurzeme,10,4
20648,10398,10250,Zemgale,10,4
31508,15805,15703,Rīga,10,6
58909,33373,25536,Vidzeme,10,6
20844,15699,5145,Latgale,10,6
40648,20960,19688,Kurzeme,10,6
38116,20298,17818,Zemgale,10,6
23073,18811,4262,Rīga,10,8
16696,11042,5654,Vidzeme,10,8
15387,11650,3737,Latgale,10,8
9846,7157,2689,Kurzeme,10,8
8879,6743,2136,Zemgale,10,8
21821,13761,8060,Rīga,10,12
26349,19436,6913,Vidzeme,10,12
3958,2812,1146,Latgale,10,12
9446,5150,4296,Kurzeme,10,12
12455,8978,3477,Zemgale,10,12
