PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
1,"Juris Sokolovskis",1,1828,115,7234,N/A,10,1,1,5521
2,"Jakovs Pliners",2,1638,153,7006,N/A,10,1,1,5521
3,"Vladimirs Buzajevs",3,1173,122,6572,N/A,10,1,1,5521
4,"Vladislavs Rafaļskis",8,628,128,6021,N/A,10,1,1,5521
5,"Natālija Jolkina",4,581,139,5963,N/A,10,1,1,5521
6,"Deniss Gorba",7,482,114,5889,N/A,10,1,1,5521
7,"Aleksandrs Kuzmins",9,472,116,5877,N/A,10,1,1,5521
8,"Viktors Dergunovs",10,354,107,5768,N/A,10,1,1,5521
9,"Žanna Kareļina",6,360,121,5760,N/A,10,1,1,5521
10,"Tatjana Jemeļjanova",11,361,131,5751,N/A,10,1,1,5521
11,"Tatjana Favorska",27,285,110,5696,N/A,10,1,1,5521
12,"Vadims Gailišs",30,278,113,5686,N/A,10,1,1,5521
13,"Vjačeslavs Altuhovs",14,280,117,5684,N/A,10,1,1,5521
14,"Aina Žuravļova",5,385,228,5678,N/A,10,1,1,5521
15,"Aleksandrs Malnačs",12,258,108,5671,N/A,10,1,1,5521
16,"Aleksandra Turčaņinova",13,247,120,5648,N/A,10,1,1,5521
17,"Aleksandrs Gamaļejevs",16,228,104,5645,N/A,10,1,1,5521
18,"Anna Proņina",28,234,110,5645,N/A,10,1,1,5521
19,"Pavels Fjodorovs",26,233,111,5643,N/A,10,1,1,5521
20,"Irina Ivanova",20,229,108,5642,N/A,10,1,1,5521
21,"Ivans Jengaševs",17,226,107,5640,N/A,10,1,1,5521
22,"Valentīna Goldinova",15,242,124,5639,N/A,10,1,1,5521
23,"Filips Dudins",29,238,124,5635,N/A,10,1,1,5521
24,"Viktorija Murina",19,209,113,5617,N/A,10,1,1,5521
25,"Aleksejs Gribkovs",24,201,114,5608,N/A,10,1,1,5521
26,"Jurijs Mašošins",18,191,113,5599,N/A,10,1,1,5521
27,"Neļa Maliha",23,193,117,5597,N/A,10,1,1,5521
28,"Taisja Bite",25,195,120,5596,N/A,10,1,1,5521
29,"Gagiks Sarkisjans",21,222,150,5593,N/A,10,1,1,5521
30,"Nazira Iso",22,193,156,5558,N/A,10,1,1,5521
1,"Andris Tolmačovs",1,385,166,2566,N/A,10,1,2,2347
2,"Jānis Kuzins",2,260,195,2412,N/A,10,1,2,2347
3,"Tahirs Sīmanis",17,199,145,2401,N/A,10,1,2,2347
4,"Aleksandrs Prutkovs",3,185,167,2365,N/A,10,1,2,2347
5,"Gints Lazdiņš",13,170,171,2346,N/A,10,1,2,2347
6,"Ludmila Rodionova",5,169,175,2341,N/A,10,1,2,2347
7,"Tatjana Strautmane",4,139,166,2320,N/A,10,1,2,2347
8,"Aleksandrs Maļins",21,116,150,2313,N/A,10,1,2,2347
9,"Alise Djomina",7,127,166,2308,N/A,10,1,2,2347
10,"Dmitrijs Kirejevs",9,131,170,2308,N/A,10,1,2,2347
11,"Gaļina Bezdeņežniha",16,115,160,2302,N/A,10,1,2,2347
12,"Anna Vinogradova",8,125,173,2299,N/A,10,1,2,2347
13,"Peresvets Bezdeņežnihs",19,107,158,2296,N/A,10,1,2,2347
14,"Vilnis Antonišķis",15,109,160,2296,N/A,10,1,2,2347
15,"Viktors Jolkins",26,109,161,2295,N/A,10,1,2,2347
16,"Jeļena Učaikina",6,109,165,2291,N/A,10,1,2,2347
17,"Igors Kotkovskis",24,96,157,2286,N/A,10,1,2,2347
18,"Aleksandrs Giļmans",25,114,176,2285,N/A,10,1,2,2347
19,"Irina Novohatjko",10,104,166,2285,N/A,10,1,2,2347
20,"Andrejs Koļesņiks",18,96,159,2284,N/A,10,1,2,2347
21,"Leticija Pone",23,94,158,2283,N/A,10,1,2,2347
22,"Kristina Galihanova",11,105,170,2282,N/A,10,1,2,2347
23,"Andrejs Bessoļcevs",12,98,167,2278,N/A,10,1,2,2347
24,"Leonīds Šakovecs",22,86,159,2274,N/A,10,1,2,2347
25,"Vilmārs Vaiba",20,77,161,2263,N/A,10,1,2,2347
26,"Ernesto Škirmants",14,78,181,2244,N/A,10,1,2,2347
1,"Miroslavs Mitrofanovs",1,1070,259,4472,N/A,10,1,3,3661
2,"Anatolijs Pušņakovs",5,523,159,4025,N/A,10,1,3,3661
3,"Aleksejs Vasiļjevs",2,431,220,3872,N/A,10,1,3,3661
4,"Aleksandrs Jukšinskis",3,314,232,3743,N/A,10,1,3,3661
5,"Valērijs Petrovs",6,304,232,3733,N/A,10,1,3,3661
6,"Ivans Popovs",7,283,218,3726,N/A,10,1,3,3661
7,"Sergejs Solovjovs",12,258,201,3718,N/A,10,1,3,3661
8,"Andrejs Golubevs",13,251,215,3697,N/A,10,1,3,3661
9,"Igors Sorokins",8,253,221,3693,N/A,10,1,3,3661
10,"Jevgeņijs Golubevs",14,228,206,3683,N/A,10,1,3,3661
11,"Vladimirs Pedāns",9,241,224,3678,N/A,10,1,3,3661
12,"Pāvels Prozors",15,218,218,3661,N/A,10,1,3,3661
13,"Sergejs Lazovskis",11,221,224,3658,N/A,10,1,3,3661
14,"Jurijs Zaicevs",16,218,224,3655,N/A,10,1,3,3661
15,"Grigorijs Gontmahers",10,234,248,3647,N/A,10,1,3,3661
16,"Aleksandrs Blins",17,202,219,3644,N/A,10,1,3,3661
17,"Vladimirs Čuprovs",18,190,212,3639,N/A,10,1,3,3661
18,"Jūlija Rimvida-Mickeviča",19,182,207,3636,N/A,10,1,3,3661
19,"Ašots Mamikonjans",4,237,287,3611,N/A,10,1,3,3661
1,"Andrējs Boboško",1,127,32,646,N/A,10,1,4,551
2,"Andris Tauriņš",3,84,30,605,N/A,10,1,4,551
3,"Tatjana Zdubņikova",6,72,33,590,N/A,10,1,4,551
4,"Ilona Haņina",2,75,37,589,N/A,10,1,4,551
5,"Deniss Čerņikovs",5,66,34,583,N/A,10,1,4,551
6,"Oļegs Šavrovs",9,61,32,580,N/A,10,1,4,551
7,"Sergejs Špaks",4,52,34,569,N/A,10,1,4,551
8,"Ļevs Berezins",7,51,34,568,N/A,10,1,4,551
9,"Aleksandra Cebaka",8,50,34,567,N/A,10,1,4,551
1,"Valērijs Buhvalovs",1,430,105,2092,N/A,10,1,5,1767
2,"Ludmila Ušakova",3,356,108,2015,N/A,10,1,5,1767
3,"Maksims Galkins",4,334,117,1984,N/A,10,1,5,1767
4,"Nataļja Čehova",2,259,114,1912,N/A,10,1,5,1767
5,"Jurijs Zamarajevs",5,162,116,1813,N/A,10,1,5,1767
6,"Valentīna Kudrjavceva",6,156,123,1800,N/A,10,1,5,1767
7,"Nikolajs Anuškevičs",7,136,117,1786,N/A,10,1,5,1767
8,"Ludmila Kitova",9,130,119,1778,N/A,10,1,5,1767
9,"Agris Kalniņš",11,109,120,1756,N/A,10,1,5,1767
10,"Marija Dešovaja",10,111,123,1755,N/A,10,1,5,1767
11,"Oļegs Pētersons",8,102,123,1746,N/A,10,1,5,1767
12,"Kristīne Irgensone",12,95,124,1738,N/A,10,1,5,1767
1,"Ģirts Valdis Kristovskis",1,26006,12408,99430,ievēlēts,10,2,1,85832
2,"Lolita Čigāne",8,15092,4720,96204,ievēlēts,10,2,1,85832
3,"Andris Buiķis",13,11515,4069,93278,ievēlēts,10,2,1,85832
4,"Ojārs Ēriks Kalniņš",16,10694,3821,92705,ievēlēts,10,2,1,85832
5,"Imants Viesturs Lieģis",10,8363,4285,89910,ievēlēts,10,2,1,85832
6,"Rasma Kārkliņa",20,7541,3503,89870,ievēlēts,10,2,1,85832
7,"Inguna Rībena",4,11477,7675,89634,ievēlēts,10,2,1,85832
8,"Ints Dālderis",6,9680,5984,89528,ievēlēts,10,2,1,85832
9,"Ilze Viņķele",11,7339,4524,88647,ievēlēts,10,2,1,85832
10,"Vaira Paegle",25,10173,8250,87755,"",10,2,1,85832
11,"Linda Mūrniece",2,14517,13027,87322,"",10,2,1,85832
12,"Uģis Rotbergs",12,3530,4056,85306,"",10,2,1,85832
13,"Sarmīte Veide",3,5153,5844,85141,"",10,2,1,85832
14,"Inese Kalniņa",29,2954,3755,85031,"",10,2,1,85832
15,"Sanita Stelpe",7,3628,4455,85005,"",10,2,1,85832
16,"Rolands Irklis",28,2684,3865,84651,"",10,2,1,85832
17,"Kristīne Drēviņa",22,2529,3793,84568,"",10,2,1,85832
18,"Iluta Lāce",17,3075,4364,84543,"",10,2,1,85832
19,"Antra Sakne",19,2908,4344,84396,"",10,2,1,85832
20,"Kārlis Strēlis",18,3580,5045,84367,"",10,2,1,85832
21,"Hosams Abu Meri",9,8059,9674,84217,"",10,2,1,85832
22,"Valdis Krastiņš",27,2879,4494,84217,"",10,2,1,85832
23,"Normunds Orleāns",14,2641,4738,83735,"",10,2,1,85832
24,"Guntis Stirna",21,2080,4224,83688,"",10,2,1,85832
25,"Uģis Resnis",32,2472,4767,83537,"",10,2,1,85832
26,"Rimants Ziedonis",15,5411,7796,83447,"",10,2,1,85832
