Valid,Modified,Unmodified,District,Saeima,Party
1133,558,575,Rīga,9,1
1348,636,712,Vidzeme,9,1
777,317,460,Latgale,9,1
421,187,234,Kurzeme,9,1
721,359,362,Zemgale,9,1
64971,40691,24280,Rīga,9,2
15762,8811,6951,Vidzeme,9,2
36859,23701,13158,Latgale,9,2
6386,4004,2382,Kurzeme,9,2
6909,3563,3346,Zemgale,9,2
9046,5312,3734,Rīga,9,3
3098,1732,1366,Vidzeme,9,3
4394,2529,1865,Latgale,9,3
279,164,115,Kurzeme,9,3
2043,1293,750,Zemgale,9,3
3348,1847,1501,Rīga,9,4
5039,2587,2452,Vidzeme,9,4
787,369,418,Latgale,9,4
1663,931,732,Kurzeme,9,4
2632,1426,1206,Zemgale,9,4
27308,13875,13433,Rīga,9,5
8408,4432,3976,Vidzeme,9,5
10747,5346,5401,Latgale,9,5
3029,1664,1365,Kurzeme,9,5
5192,2880,2312,Zemgale,9,5
1144,493,651,Rīga,9,6
981,328,653,Vidzeme,9,6
270,97,173,Latgale,9,6
345,110,235,Kurzeme,9,6
625,207,418,Zemgale,9,6
25851,14880,10971,Rīga,9,7
44580,23325,21255,Vidzeme,9,7
16759,9767,6992,Latgale,9,7
32962,17497,15465,Kurzeme,9,7
31443,16243,15200,Zemgale,9,7
478,282,196,Rīga,9,8
648,360,288,Vidzeme,9,8
361,202,159,Latgale,9,8
204,96,108,Kurzeme,9,8
374,228,146,Zemgale,9,8
22223,16466,5757,Rīga,9,9
18098,13122,4976,Vidzeme,9,9
18833,13525,5308,Latgale,9,9
8285,6163,2122,Kurzeme,9,9
10430,7553,2877,Zemgale,9,9
7275,4354,2921,Rīga,9,10
8448,4339,4109,Vidzeme,9,10
7241,4470,2771,Latgale,9,10
4687,2665,2022,Kurzeme,9,10
4077,2044,2033,Zemgale,9,10
361,190,171,Rīga,9,11
324,153,171,Vidzeme,9,11
127,43,84,Latgale,9,11
140,63,77,Kurzeme,9,11
162,61,101,Zemgale,9,11
361,178,183,Rīga,9,12
293,120,173,Vidzeme,9,12
117,44,73,Latgale,9,12
246,148,98,Kurzeme,9,12
155,74,81,Zemgale,9,12
2581,1454,1127,Rīga,9,13
3777,2023,1754,Vidzeme,9,13
1255,736,519,Latgale,9,13
1886,1108,778,Kurzeme,9,13
2006,1143,863,Zemgale,9,13
35813,21958,13855,Rīga,9,14
61769,35284,26485,Vidzeme,9,14
18844,12309,6535,Latgale,9,14
31296,18987,12309,Kurzeme,9,14
29759,17745,12014,Zemgale,9,14
46813,32861,13952,Rīga,9,15
51189,35402,15787,Vidzeme,9,15
8693,5983,2710,Latgale,9,15
19086,13473,5613,Kurzeme,9,15
22821,15958,6863,Zemgale,9,15
299,106,193,Rīga,9,16
282,114,168,Vidzeme,9,16
120,52,68,Latgale,9,16
222,125,97,Kurzeme,9,16
207,90,117,Zemgale,9,16
2120,721,1399,Rīga,9,17
2327,772,1555,Vidzeme,9,17
731,330,401,Latgale,9,17
822,298,524,Kurzeme,9,17
1175,382,793,Zemgale,9,17
345,210,135,Rīga,9,18
404,205,199,Vidzeme,9,18
285,170,115,Latgale,9,18
266,176,90,Kurzeme,9,18
275,131,144,Zemgale,9,18
