"","PostNum","PreNum","CandidateName","CandidateSurname","Sex","Saeima","PartyNum","PartyAbbr","DistrNum","DistrName","BallotsForParty","Pluses","Minuses","Points","Result"
"1",1,1,"Jānis","Danoss","Male",6,1,"Liberālā partija",1,"Rīga",460,67,39,488," "
"2",2,10,"Pēteris","Teivāns","Male",6,1,"Liberālā partija",1,"Rīga",460,25,38,447," "
"3",3,2,"Artūrs","Malta","Male",6,1,"Liberālā partija",1,"Rīga",460,28,42,446," "
"4",4,4,"Edmunds","Zālīte","Male",6,1,"Liberālā partija",1,"Rīga",460,19,39,440," "
"5",5,15,"Tamāra","Broka","Female",6,1,"Liberālā partija",1,"Rīga",460,18,38,440," "
"6",6,8,"Gunārs","Svētiņš","Male",6,1,"Liberālā partija",1,"Rīga",460,18,39,439," "
"7",7,17,"Gunta","Madlinska","Female",6,1,"Liberālā partija",1,"Rīga",460,16,38,438," "
"8",8,19,"Austris","Kalnājs","Male",6,1,"Liberālā partija",1,"Rīga",460,13,35,438," "
"9",9,9,"Jānis","Kučinskis","Male",6,1,"Liberālā partija",1,"Rīga",460,18,41,437," "
"10",10,5,"Jānis","Nikolovskis","Male",6,1,"Liberālā partija",1,"Rīga",460,17,41,436," "
"11",11,11,"Kārlis","Klauva","Male",6,1,"Liberālā partija",1,"Rīga",460,14,38,436," "
"12",12,16,"Pēteris","Zaremba","Male",6,1,"Liberālā partija",1,"Rīga",460,14,38,436," "
"13",13,18,"Arnolds","Zvirgzds","Male",6,1,"Liberālā partija",1,"Rīga",460,17,42,435," "
"14",14,24,"Ingrīda","Kursiša","Female",6,1,"Liberālā partija",1,"Rīga",460,12,38,434," "
"15",15,27,"Uldis","Kundrāts","Male",6,1,"Liberālā partija",1,"Rīga",460,11,37,434," "
"16",16,3,"Kazimirs","Civkors","Male",6,1,"Liberālā partija",1,"Rīga",460,14,41,433," "
"17",17,13,"Juris","Semjonovs","Male",6,1,"Liberālā partija",1,"Rīga",460,14,41,433," "
"18",18,6,"Inese","Šāble","Female",6,1,"Liberālā partija",1,"Rīga",460,12,41,431," "
"19",19,7,"Gunārs","Kohs","Male",6,1,"Liberālā partija",1,"Rīga",460,11,41,430," "
"20",20,20,"Verners","Erns","Male",6,1,"Liberālā partija",1,"Rīga",460,9,39,430," "
"21",21,25,"Vija","Garanča","Female",6,1,"Liberālā partija",1,"Rīga",460,10,40,430," "
"22",22,12,"Jānis","Staltmanis","Male",6,1,"Liberālā partija",1,"Rīga",460,10,41,429," "
"23",23,22,"Taiga","Sedvalde","Female",6,1,"Liberālā partija",1,"Rīga",460,9,41,428," "
"24",24,23,"Almārs","Šidlovskis","Male",6,1,"Liberālā partija",1,"Rīga",460,12,45,427," "
"25",25,14,"Anastasija","Jurkiša","Female",6,1,"Liberālā partija",1,"Rīga",460,9,43,426," "
"26",26,26,"Mārīte","Proveja","Female",6,1,"Liberālā partija",1,"Rīga",460,7,41,426," "
"27",27,21,"Jāzeps","Zips","Male",6,1,"Liberālā partija",1,"Rīga",460,8,45,423," "
"28",1,4,"Jānis","Danoss","Male",6,1,"Liberālā partija",2,"Vidzeme",477,39,37,479," "
"29",2,15,"Aija","Buša","Female",6,1,"Liberālā partija",2,"Vidzeme",477,23,35,465," "
"30",3,3,"Artūrs","Malta","Male",6,1,"Liberālā partija",2,"Vidzeme",477,22,36,463," "
"31",4,17,"Indra","Briģe","Female",6,1,"Liberālā partija",2,"Vidzeme",477,19,38,458," "
"32",5,10,"Inese","Šāble","Female",6,1,"Liberālā partija",2,"Vidzeme",477,16,36,457," "
"33",6,6,"Jānis","Kučinskis","Male",6,1,"Liberālā partija",2,"Vidzeme",477,18,39,456," "
"34",7,9,"Gunārs","Kohs","Male",6,1,"Liberālā partija",2,"Vidzeme",477,13,35,455," "
"35",8,13,"Juris","Semjonovs","Male",6,1,"Liberālā partija",2,"Vidzeme",477,12,34,455," "
"36",9,14,"Anastasija","Jurkiša","Female",6,1,"Liberālā partija",2,"Vidzeme",477,11,33,455," "
"37",10,18,"Zinta","Danosa","Female",6,1,"Liberālā partija",2,"Vidzeme",477,15,37,455," "
"38",11,24,"Ingrīda","Kursiša","Female",6,1,"Liberālā partija",2,"Vidzeme",477,11,35,453," "
"39",12,1,"Edmunds","Zālīte","Male",6,1,"Liberālā partija",2,"Vidzeme",477,16,41,452," "
"40",13,5,"Kazimirs","Civkors","Male",6,1,"Liberālā partija",2,"Vidzeme",477,13,38,452," "
"41",14,8,"Pēteris","Teivāns","Male",6,1,"Liberālā partija",2,"Vidzeme",477,12,38,451," "
"42",15,11,"Kārlis","Klauva","Male",6,1,"Liberālā partija",2,"Vidzeme",477,9,36,450," "
"43",16,19,"Tamāra","Broka","Female",6,1,"Liberālā partija",2,"Vidzeme",477,9,36,450," "
"44",17,21,"Mārīte","Proveja","Female",6,1,"Liberālā partija",2,"Vidzeme",477,7,34,450," "
"45",18,23,"Oskars","Veinbergs","Male",6,1,"Liberālā partija",2,"Vidzeme",477,11,38,450," "
"46",19,2,"Jānis","Nikolovskis","Male",6,1,"Liberālā partija",2,"Vidzeme",477,13,41,449," "
"47",20,20,"Vija","Garanča","Female",6,1,"Liberālā partija",2,"Vidzeme",477,8,37,448," "
"48",21,12,"Jānis","Staltmanis","Male",6,1,"Liberālā partija",2,"Vidzeme",477,6,36,447," "
"49",22,16,"Ineta","Lakačauska","Female",6,1,"Liberālā partija",2,"Vidzeme",477,9,39,447," "
"50",23,25,"Jāzeps","Zips","Male",6,1,"Liberālā partija",2,"Vidzeme",477,7,37,447," "
"51",24,7,"Gunārs","Svētiņš","Male",6,1,"Liberālā partija",2,"Vidzeme",477,6,38,445," "
"52",25,22,"Verners","Erns","Male",6,1,"Liberālā partija",2,"Vidzeme",477,4,38,443," "
"53",1,1,"Artūrs","Malta","Male",6,1,"Liberālā partija",3,"Latgale",713,65,80,698," "
"54",2,15,"Oskars","Veinbergs","Male",6,1,"Liberālā partija",3,"Latgale",713,30,82,661," "
"55",3,9,"Gunārs","Svētiņš","Male",6,1,"Liberālā partija",3,"Latgale",713,34,87,660," "
"56",4,10,"Jānis","Kučinskis","Male",6,1,"Liberālā partija",3,"Latgale",713,33,87,659," "
"57",5,5,"Jānis","Danoss","Male",6,1,"Liberālā partija",3,"Latgale",713,31,86,658," "
"58",6,6,"Pēteris","Teivāns","Male",6,1,"Liberālā partija",3,"Latgale",713,34,89,658," "
"59",7,13,"Juris","Semjonovs","Male",6,1,"Liberālā partija",3,"Latgale",713,23,81,655," "
"60",8,14,"Anastasija","Jurkiša","Female",6,1,"Liberālā partija",3,"Latgale",713,19,82,650," "
"61",9,17,"Tamāra","Broka","Female",6,1,"Liberālā partija",3,"Latgale",713,20,84,649," "
"62",10,18,"Vija","Garanča","Female",6,1,"Liberālā partija",3,"Latgale",713,19,83,649," "
"63",11,19,"Gunta","Madlinska","Female",6,1,"Liberālā partija",3,"Latgale",713,18,82,649," "
"64",12,2,"Kazimirs","Civkors","Male",6,1,"Liberālā partija",3,"Latgale",713,27,92,648," "
"65",13,3,"Edmunds","Zālīte","Male",6,1,"Liberālā partija",3,"Latgale",713,24,89,648," "
"66",14,16,"Zinta","Danosa","Female",6,1,"Liberālā partija",3,"Latgale",713,16,83,646," "
