"PreNum","CandidateName","CandidateSurname","Sex","Saeima","PartyNum","PartyAbbr","DistrNum","DistrName"
1,"Juris","Pūce","Male",12,1,"Latvijas attīstībai",1,"Rīga"
2,"Liene","Cakare","Female",12,1,"Latvijas attīstībai",1,"Rīga"
3,"Iveta","Zalpētere","Female",12,1,"Latvijas attīstībai",1,"Rīga"
4,"Andris","Bačkurs","Male",12,1,"Latvijas attīstībai",1,"Rīga"
5,"Ralfs","Birķis","Male",12,1,"Latvijas attīstībai",1,"Rīga"
6,"Zane","Baltgaile","Female",12,1,"Latvijas attīstībai",1,"Rīga"
7,"Ģirts","Auškāps","Male",12,1,"Latvijas attīstībai",1,"Rīga"
8,"Antra","Roskoša","Female",12,1,"Latvijas attīstībai",1,"Rīga"
9,"Armands","Zivtiņš","Male",12,1,"Latvijas attīstībai",1,"Rīga"
10,"Inese","Drone","Female",12,1,"Latvijas attīstībai",1,"Rīga"
11,"Ineta","Jansone","Female",12,1,"Latvijas attīstībai",1,"Rīga"
12,"Liene","Blūma","Female",12,1,"Latvijas attīstībai",1,"Rīga"
13,"Artūrs","Bušs","Male",12,1,"Latvijas attīstībai",1,"Rīga"
14,"Edgars","Kalējs","Male",12,1,"Latvijas attīstībai",1,"Rīga"
15,"Ģirts","Bite","Male",12,1,"Latvijas attīstībai",1,"Rīga"
16,"Rolands","Pogulis","Male",12,1,"Latvijas attīstībai",1,"Rīga"
17,"Arta","Pirktiņa","Female",12,1,"Latvijas attīstībai",1,"Rīga"
18,"Ēriks","Kumerdanks","Male",12,1,"Latvijas attīstībai",1,"Rīga"
19,"Kristaps","Laipnieks","Male",12,1,"Latvijas attīstībai",1,"Rīga"
20,"Renārs","Smoļaks","Male",12,1,"Latvijas attīstībai",1,"Rīga"
21,"Ainārs","Kalniņš","Male",12,1,"Latvijas attīstībai",1,"Rīga"
22,"Ineta","Atgāze","Female",12,1,"Latvijas attīstībai",1,"Rīga"
23,"Kristīne","Mirzahanjana","Female",12,1,"Latvijas attīstībai",1,"Rīga"
24,"Vladimirs","Jefimovs","Male",12,1,"Latvijas attīstībai",1,"Rīga"
25,"Mārtiņš","Grīnbergs","Male",12,1,"Latvijas attīstībai",1,"Rīga"
26,"Viesturs","Liepkalns","Male",12,1,"Latvijas attīstībai",1,"Rīga"
27,"Kristaps","Zaharkevičs","Male",12,1,"Latvijas attīstībai",1,"Rīga"
28,"Ilmārs","Gruduls","Male",12,1,"Latvijas attīstībai",1,"Rīga"
29,"Nelda","Otvare","Female",12,1,"Latvijas attīstībai",1,"Rīga"
30,"Mārtiņš","Roze","Male",12,1,"Latvijas attīstībai",1,"Rīga"
31,"Ilga","Sitale","Female",12,1,"Latvijas attīstībai",1,"Rīga"
32,"Vladimirs","Mišins","Male",12,1,"Latvijas attīstībai",1,"Rīga"
1,"Einars","Repše","Male",12,1,"Latvijas attīstībai",2,"Vidzeme"
2,"Baiba","Fromane","Female",12,1,"Latvijas attīstībai",2,"Vidzeme"
3,"Emīls","Jakrins","Male",12,1,"Latvijas attīstībai",2,"Vidzeme"
