PostNum,PreNum,CandidateName,CandidateSurname,Sex,Saeima,PartyNum,PartyAbbr,DistrNum,DistrName,BallotsForParty,Pluses,Minuses,Points,Result
1,1,Juris,Sokolovskis,Male,10,1,PCTVL,1,Rīga,5521,1828,115,7234,N/A
2,2,Jakovs,Pliners,Male,10,1,PCTVL,1,Rīga,5521,1638,153,7006,N/A
3,3,Vladimirs,Buzajevs,Male,10,1,PCTVL,1,Rīga,5521,1173,122,6572,N/A
4,8,Vladislavs,Rafaļskis,Male,10,1,PCTVL,1,Rīga,5521,628,128,6021,N/A
5,4,Natālija,Jolkina,Female,10,1,PCTVL,1,Rīga,5521,581,139,5963,N/A
6,7,Deniss,Gorba,Male,10,1,PCTVL,1,Rīga,5521,482,114,5889,N/A
7,9,Aleksandrs,Kuzmins,Male,10,1,PCTVL,1,Rīga,5521,472,116,5877,N/A
8,10,Viktors,Dergunovs,Male,10,1,PCTVL,1,Rīga,5521,354,107,5768,N/A
9,6,Žanna,Kareļina,Female,10,1,PCTVL,1,Rīga,5521,360,121,5760,N/A
10,11,Tatjana,Jemeļjanova,Female,10,1,PCTVL,1,Rīga,5521,361,131,5751,N/A
11,27,Tatjana,Favorska,Female,10,1,PCTVL,1,Rīga,5521,285,110,5696,N/A
12,30,Vadims,Gailišs,Male,10,1,PCTVL,1,Rīga,5521,278,113,5686,N/A
13,14,Vjačeslavs,Altuhovs,Male,10,1,PCTVL,1,Rīga,5521,280,117,5684,N/A
14,5,Aina,Žuravļova,Female,10,1,PCTVL,1,Rīga,5521,385,228,5678,N/A
15,12,Aleksandrs,Malnačs,Male,10,1,PCTVL,1,Rīga,5521,258,108,5671,N/A
16,13,Aleksandra,Turčaņinova,Female,10,1,PCTVL,1,Rīga,5521,247,120,5648,N/A
17,16,Aleksandrs,Gamaļejevs,Male,10,1,PCTVL,1,Rīga,5521,228,104,5645,N/A
18,28,Anna,Proņina,Female,10,1,PCTVL,1,Rīga,5521,234,110,5645,N/A
19,26,Pavels,Fjodorovs,Male,10,1,PCTVL,1,Rīga,5521,233,111,5643,N/A
20,20,Irina,Ivanova,Female,10,1,PCTVL,1,Rīga,5521,229,108,5642,N/A
21,17,Ivans,Jengaševs,Male,10,1,PCTVL,1,Rīga,5521,226,107,5640,N/A
22,15,Valentīna,Goldinova,Female,10,1,PCTVL,1,Rīga,5521,242,124,5639,N/A
23,29,Filips,Dudins,Male,10,1,PCTVL,1,Rīga,5521,238,124,5635,N/A
24,19,Viktorija,Murina,Female,10,1,PCTVL,1,Rīga,5521,209,113,5617,N/A
25,24,Aleksejs,Gribkovs,Male,10,1,PCTVL,1,Rīga,5521,201,114,5608,N/A
26,18,Jurijs,Mašošins,Male,10,1,PCTVL,1,Rīga,5521,191,113,5599,N/A
27,23,Neļa,Maliha,Female,10,1,PCTVL,1,Rīga,5521,193,117,5597,N/A
28,25,Taisja,Bite,Female,10,1,PCTVL,1,Rīga,5521,195,120,5596,N/A
29,21,Gagiks,Sarkisjans,Male,10,1,PCTVL,1,Rīga,5521,222,150,5593,N/A
30,22,Nazira,Iso,Female,10,1,PCTVL,1,Rīga,5521,193,156,5558,N/A
1,1,Andris,Tolmačovs,Male,10,1,PCTVL,2,Vidzeme,2347,385,166,2566,N/A
2,2,Jānis,Kuzins,Male,10,1,PCTVL,2,Vidzeme,2347,260,195,2412,N/A
3,17,Tahirs,Sīmanis,Male,10,1,PCTVL,2,Vidzeme,2347,199,145,2401,N/A
4,3,Aleksandrs,Prutkovs,Male,10,1,PCTVL,2,Vidzeme,2347,185,167,2365,N/A
5,13,Gints,Lazdiņš,Male,10,1,PCTVL,2,Vidzeme,2347,170,171,2346,N/A
6,5,Ludmila,Rodionova,Female,10,1,PCTVL,2,Vidzeme,2347,169,175,2341,N/A
7,4,Tatjana,Strautmane,Female,10,1,PCTVL,2,Vidzeme,2347,139,166,2320,N/A
8,21,Aleksandrs,Maļins,Male,10,1,PCTVL,2,Vidzeme,2347,116,150,2313,N/A
9,7,Alise,Djomina,Female,10,1,PCTVL,2,Vidzeme,2347,127,166,2308,N/A
10,9,Dmitrijs,Kirejevs,Male,10,1,PCTVL,2,Vidzeme,2347,131,170,2308,N/A
11,16,Gaļina,Bezdeņežniha,Female,10,1,PCTVL,2,Vidzeme,2347,115,160,2302,N/A
12,8,Anna,Vinogradova,Female,10,1,PCTVL,2,Vidzeme,2347,125,173,2299,N/A
13,19,Peresvets,Bezdeņežnihs,Male,10,1,PCTVL,2,Vidzeme,2347,107,158,2296,N/A
14,15,Vilnis,Antonišķis,Male,10,1,PCTVL,2,Vidzeme,2347,109,160,2296,N/A
15,26,Viktors,Jolkins,Male,10,1,PCTVL,2,Vidzeme,2347,109,161,2295,N/A
16,6,Jeļena,Učaikina,Female,10,1,PCTVL,2,Vidzeme,2347,109,165,2291,N/A
17,24,Igors,Kotkovskis,Male,10,1,PCTVL,2,Vidzeme,2347,96,157,2286,N/A
18,25,Aleksandrs,Giļmans,Male,10,1,PCTVL,2,Vidzeme,2347,114,176,2285,N/A
19,10,Irina,Novohatjko,Female,10,1,PCTVL,2,Vidzeme,2347,104,166,2285,N/A
20,18,Andrejs,Koļesņiks,Male,10,1,PCTVL,2,Vidzeme,2347,96,159,2284,N/A
21,23,Leticija,Pone,Female,10,1,PCTVL,2,Vidzeme,2347,94,158,2283,N/A
22,11,Kristina,Galihanova,Female,10,1,PCTVL,2,Vidzeme,2347,105,170,2282,N/A
23,12,Andrejs,Bessoļcevs,Male,10,1,PCTVL,2,Vidzeme,2347,98,167,2278,N/A
24,22,Leonīds,Šakovecs,Male,10,1,PCTVL,2,Vidzeme,2347,86,159,2274,N/A
25,20,Vilmārs,Vaiba,Male,10,1,PCTVL,2,Vidzeme,2347,77,161,2263,N/A
26,14,Ernesto,Škirmants,Male,10,1,PCTVL,2,Vidzeme,2347,78,181,2244,N/A
1,1,Miroslavs,Mitrofanovs,Male,10,1,PCTVL,3,Latgale,3661,1070,259,4472,N/A
2,5,Anatolijs,Pušņakovs,Male,10,1,PCTVL,3,Latgale,3661,523,159,4025,N/A
3,2,Aleksejs,Vasiļjevs,Male,10,1,PCTVL,3,Latgale,3661,431,220,3872,N/A
4,3,Aleksandrs,Jukšinskis,Male,10,1,PCTVL,3,Latgale,3661,314,232,3743,N/A
5,6,Valērijs,Petrovs,Male,10,1,PCTVL,3,Latgale,3661,304,232,3733,N/A
6,7,Ivans,Popovs,Male,10,1,PCTVL,3,Latgale,3661,283,218,3726,N/A
7,12,Sergejs,Solovjovs,Male,10,1,PCTVL,3,Latgale,3661,258,201,3718,N/A
8,13,Andrejs,Golubevs,Male,10,1,PCTVL,3,Latgale,3661,251,215,3697,N/A
9,8,Igors,Sorokins,Male,10,1,PCTVL,3,Latgale,3661,253,221,3693,N/A
10,14,Jevgeņijs,Golubevs,Male,10,1,PCTVL,3,Latgale,3661,228,206,3683,N/A
11,9,Vladimirs,Pedāns,Male,10,1,PCTVL,3,Latgale,3661,241,224,3678,N/A
12,15,Pāvels,Prozors,Male,10,1,PCTVL,3,Latgale,3661,218,218,3661,N/A
13,11,Sergejs,Lazovskis,Male,10,1,PCTVL,3,Latgale,3661,221,224,3658,N/A
14,16,Jurijs,Zaicevs,Male,10,1,PCTVL,3,Latgale,3661,218,224,3655,N/A
15,10,Grigorijs,Gontmahers,Male,10,1,PCTVL,3,Latgale,3661,234,248,3647,N/A
16,17,Aleksandrs,Blins,Male,10,1,PCTVL,3,Latgale,3661,202,219,3644,N/A
17,18,Vladimirs,Čuprovs,Male,10,1,PCTVL,3,Latgale,3661,190,212,3639,N/A
18,19,Jūlija,Rimvida-Mickeviča,Female,10,1,PCTVL,3,Latgale,3661,182,207,3636,N/A
19,4,Ašots,Mamikonjans,Male,10,1,PCTVL,3,Latgale,3661,237,287,3611,N/A
1,1,Andrējs,Boboško,Male,10,1,PCTVL,4,Kurzeme,551,127,32,646,N/A
2,3,Andris,Tauriņš,Male,10,1,PCTVL,4,Kurzeme,551,84,30,605,N/A
3,6,Tatjana,Zdubņikova,Female,10,1,PCTVL,4,Kurzeme,551,72,33,590,N/A
4,2,Ilona,Haņina,Female,10,1,PCTVL,4,Kurzeme,551,75,37,589,N/A
5,5,Deniss,Čerņikovs,Male,10,1,PCTVL,4,Kurzeme,551,66,34,583,N/A
6,9,Oļegs,Šavrovs,Male,10,1,PCTVL,4,Kurzeme,551,61,32,580,N/A
7,4,Sergejs,Špaks,Male,10,1,PCTVL,4,Kurzeme,551,52,34,569,N/A
8,7,Ļevs,Berezins,Male,10,1,PCTVL,4,Kurzeme,551,51,34,568,N/A
9,8,Aleksandra,Cebaka,Female,10,1,PCTVL,4,Kurzeme,551,50,34,567,N/A
1,1,Valērijs,Buhvalovs,Male,10,1,PCTVL,5,Zemgale,1767,430,105,2092,N/A
2,3,Ludmila,Ušakova,Female,10,1,PCTVL,5,Zemgale,1767,356,108,2015,N/A
3,4,Maksims,Galkins,Male,10,1,PCTVL,5,Zemgale,1767,334,117,1984,N/A
4,2,Nataļja,Čehova,Female,10,1,PCTVL,5,Zemgale,1767,259,114,1912,N/A
5,5,Jurijs,Zamarajevs,Male,10,1,PCTVL,5,Zemgale,1767,162,116,1813,N/A
6,6,Valentīna,Kudrjavceva,Female,10,1,PCTVL,5,Zemgale,1767,156,123,1800,N/A
7,7,Nikolajs,Anuškevičs,Male,10,1,PCTVL,5,Zemgale,1767,136,117,1786,N/A
8,9,Ludmila,Kitova,Female,10,1,PCTVL,5,Zemgale,1767,130,119,1778,N/A
9,11,Agris,Kalniņš,Male,10,1,PCTVL,5,Zemgale,1767,109,120,1756,N/A
10,10,Marija,Dešovaja,Female,10,1,PCTVL,5,Zemgale,1767,111,123,1755,N/A
11,8,Oļegs,Pētersons,Male,10,1,PCTVL,5,Zemgale,1767,102,123,1746,N/A
12,12,Kristīne,Irgensone,Female,10,1,PCTVL,5,Zemgale,1767,95,124,1738,N/A
1,1,"Ģirts Valdis",Kristovskis,Male,10,2,Vienotība,1,Rīga,85832,26006,12408,99430,ievēlēts
2,8,Lolita,Čigāne,Female,10,2,Vienotība,1,Rīga,85832,15092,4720,96204,ievēlēts
3,13,Andris,Buiķis,Male,10,2,Vienotība,1,Rīga,85832,11515,4069,93278,ievēlēts
4,16,"Ojārs Ēriks",Kalniņš,Male,10,2,Vienotība,1,Rīga,85832,10694,3821,92705,ievēlēts
5,10,"Imants Viesturs",Lieģis,Male,10,2,Vienotība,1,Rīga,85832,8363,4285,89910,ievēlēts
6,20,Rasma,Kārkliņa,Female,10,2,Vienotība,1,Rīga,85832,7541,3503,89870,ievēlēts
7,4,Inguna,Rībena,Female,10,2,Vienotība,1,Rīga,85832,11477,7675,89634,ievēlēts
8,6,Ints,Dālderis,Male,10,2,Vienotība,1,Rīga,85832,9680,5984,89528,ievēlēts
9,11,Ilze,Viņķele,Female,10,2,Vienotība,1,Rīga,85832,7339,4524,88647,ievēlēts
10,25,Vaira,Paegle,Female,10,2,Vienotība,1,Rīga,85832,10173,8250,87755,""
11,2,Linda,Mūrniece,Female,10,2,Vienotība,1,Rīga,85832,14517,13027,87322,""
12,12,Uģis,Rotbergs,Male,10,2,Vienotība,1,Rīga,85832,3530,4056,85306,""
13,3,Sarmīte,Veide,Female,10,2,Vienotība,1,Rīga,85832,5153,5844,85141,""
14,29,Inese,Kalniņa,Female,10,2,Vienotība,1,Rīga,85832,2954,3755,85031,""
15,7,Sanita,Stelpe,Female,10,2,Vienotība,1,Rīga,85832,3628,4455,85005,""
16,28,Rolands,Irklis,Male,10,2,Vienotība,1,Rīga,85832,2684,3865,84651,""
17,22,Kristīne,Drēviņa,Female,10,2,Vienotība,1,Rīga,85832,2529,3793,84568,""
18,17,Iluta,Lāce,Female,10,2,Vienotība,1,Rīga,85832,3075,4364,84543,""
19,19,Antra,Sakne,Female,10,2,Vienotība,1,Rīga,85832,2908,4344,84396,""
20,18,Kārlis,Strēlis,Male,10,2,Vienotība,1,Rīga,85832,3580,5045,84367,""
21,9,"Hosams Abu",Meri,Male,10,2,Vienotība,1,Rīga,85832,8059,9674,84217,""
22,27,Valdis,Krastiņš,Male,10,2,Vienotība,1,Rīga,85832,2879,4494,84217,""
23,14,Normunds,Orleāns,Male,10,2,Vienotība,1,Rīga,85832,2641,4738,83735,""
24,21,Guntis,Stirna,Male,10,2,Vienotība,1,Rīga,85832,2080,4224,83688,""
25,32,Uģis,Resnis,Male,10,2,Vienotība,1,Rīga,85832,2472,4767,83537,""
26,15,Rimants,Ziedonis,Male,10,2,Vienotība,1,Rīga,85832,5411,7796,83447,""
27,23,Juris,Zvirbulis,Male,10,2,Vienotība,1,Rīga,85832,2010,4539,83303,""
28,31,Dainis,Rītiņš,Male,10,2,Vienotība,1,Rīga,85832,1818,4415,83235,""
29,5,Olafs,Pulks,Male,10,2,Vienotība,1,Rīga,85832,9210,11821,83221,""
30,24,Marija,Balcere,Female,10,2,Vienotība,1,Rīga,85832,1984,4801,83015,""
31,30,Raimonds,Rublovskis,Male,10,2,Vienotība,1,Rīga,85832,1857,4712,82977,""
32,26,Modris,Jaunups,Male,10,2,Vienotība,1,Rīga,85832,3679,12399,77112,""
1,1,Valdis,Dombrovskis,Male,10,2,Vienotība,2,Vidzeme,110194,77168,1327,186035,ievēlēts
2,2,Artis,Pabriks,Male,10,2,Vienotība,2,Vidzeme,110194,30182,7245,133131,ievēlēts
3,3,Ilma,Čepāne,Female,10,2,Vienotība,2,Vidzeme,110194,25764,6821,129137,ievēlēts
4,7,Ainars,Latkovskis,Male,10,2,Vienotība,2,Vidzeme,110194,11764,6904,115054,ievēlēts
5,6,Ina,Druviete,Female,10,2,Vienotība,2,Vidzeme,110194,14419,10495,114118,ievēlēts
6,12,Andris,Vilks,Male,10,2,Vienotība,2,Vidzeme,110194,7054,6579,110669,ievēlēts
7,5,Edvards,Smiltēns,Male,10,2,Vienotība,2,Vidzeme,110194,6000,6805,109389,ievēlēts
8,17,Dzintars,Ābiķis,Male,10,2,Vienotība,2,Vidzeme,110194,11016,11969,109241,ievēlēts
