"Nr","Saraksts","Saīsinājums","Rīga","Vidzeme","Latgale","Kurzeme","Zemgale","Kopā","Procenti","Vietas","Aploksnes"
1,"Latvijas Liberālā partija","Liberālā partija",460,477,713,218,295,2163,0.226,0,955392
2,"Latvijas Zemnieku savienības, Latvijas Kristīgo demokrātu savienības un Latgalē Latgales Demokrātiskās partijas apvienotais saraksts","LZS, LKDS un Latgales DP",12911,14534,11848,11704,9501,60498,6.332,8,955392
3,"Maznodrošināto politiskā apvienība un Latviešu neatkarības partija","Maznodrošināto apvienība",2241,2796,1757,1110,1564,9468,0.991,0,955392
4,"Latvijas Vienības partija","Vienības partija",9552,24337,14417,8929,11070,68305,7.149,8,955392
5,"Latvijas Demokrātiskās darba partijas (LDDP), Latvijas Sociāldemokrātiskās strādnieku partijas (LSDSP) un Latvijas Apkrāpto cilvēku aizsardzības partijas “Taisnība” (Taisnība) koalīcija “Darbs un Taisnīgums”","LDDP, LSDSP un Taisnība",11160,12572,2868,9988,7011,43599,4.563,0,955392
6,"Tautas saskaņas partija","TSP",22903,6547,18193,1857,3541,53041,5.552,6,955392
7,"Latviešu Zemnieku savienība","Latviešu Zemnieku savienība",2922,3927,1898,2013,2249,13009,1.362,0,955392
8,"Latvijas Krievu pilsoņu partija (LKPP)","Krievu pilsoņu partija",4281,1720,4388,511,1024,11924,1.248,0,955392
9,"Demokrātiskā parrtija Saimnieks","Saimnieks",31221,43624,25895,20985,23033,144758,15.152,18,955392
10,"Latvijas Sociālistiskā partija","Sociālistiskā partija",18526,4044,26414,979,3362,53325,5.581,5,955392
11,"Latvijas Nacionāli Demokrātiskā partija","LNDP",428,346,270,160,163,1367,0.143,0,955392
12,"Partijas “Mūsu zeme” un “Pretkomunistu apvienība”","Mūsu zeme",1231,1469,632,756,962,5050,0.529,0,955392
13,"Tautas kustība Latvijai (Zīgerista partija)","Zīgerista partija",23398,41355,19516,24558,33497,142324,14.897,16,955392
14,"Apvienība “Tēvzemei un Brīvībai”","TB",43607,32941,5247,17224,15031,114050,11.938,14,955392
15,"Latvijas Tautas fronte","LTF",3113,3155,1632,1777,1413,11090,1.161,0,955392
16,"Tautsaimnieku politiskā apvienība “Tautsaimnieks”","Tautsaimnieks",1728,7051,1509,1601,2320,14209,1.487,0,955392
17,"Savienība “Latvijas ceļš”","LC",29806,41530,24692,24530,19371,139929,14.646,17,955392
18,"Latvijas Nacionāli konservatīvā partija - LNNK un Latvijas Zaļā partija","LNNK un LZP",24275,16924,4281,6856,8016,60352,6.317,8,955392
19,"Demokrātu partija","Demokrātu partija",603,562,732,236,413,2546,0.266,0,955392
,"Kopā",,244366,259911,166902,135992,143836,951007,99.541,100,955392
,"Deputātu skaits",,27,25,19,14,15,100,,,
