"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Paulis Kļaviņš",1,2127,482,14556,"ievēlēts",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
2,"Kārlis Jūlijs Druva",6,1441,442,13910,"ievēlēts",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
3,"Tekla Balode",16,1336,556,13691," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
4,"Juris Miķelsons",5,1222,447,13686," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
5,"Rūdolfs Cimdiņš",12,992,438,13465," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
6,"Uldis Lakševics",4,1137,595,13453," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
7,"Ojārs Blumbergs",3,1212,768,13355," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
8,"Vera Volgemute",17,1231,805,13337," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
9,"Mārcis Gobiņš",25,965,608,13268," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
10,"Oskars Caune",2,1308,1137,13082," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
11,"Ojārs Spārītis",11,719,782,12848," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
12,"Pēteris Putniņš",22,588,684,12815," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
13,"Viktors Elksnis",8,633,751,12793," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
14,"Dainis Vanags",19,593,730,12774," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
15,"Ieva Bīlmane",13,552,778,12685," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
16,"Vilnis Gulbis",23,409,668,12652," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
17,"Rihards Pīks",9,754,1041,12624," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
18,"Gunārs Matisons",14,411,711,12611," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
19,"Alda Eisaka",10,568,917,12562," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
20,"Jānis Augstkalniņš",24,410,789,12532," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
21,"Uldis Matvejs",7,508,896,12523," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
22,"Arturs Ēķis",15,661,1098,12474," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
23,"Leons Vizbulis",27,358,812,12457," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
24,"Viktors Zemgals",18,1064,1526,12449," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
25,"Konstantīns Gailišs",20,345,815,12441," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
26,"Zenta Valtere",21,427,998,12340," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
27,"Francisks Usāns",26,352,929,12334," ",6,"LZS, LKDS un Latgales DP",2,"Rīga",12911
1,"Pauls Putniņš",1,1912,582,15864,"ievēlēts",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
2,"Aida Prēdele",2,1872,740,15666,"ievēlēts",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
3,"Māris Niklass",9,941,496,14979," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
4,"Andris Sovers",16,806,426,14914," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
5,"Mārtiņš Bauze-Krastiņš",25,847,517,14864," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
6,"Juris Rūdolfs Lange",13,676,422,14788," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
7,"Kārlis Albergs",24,663,410,14787," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
8,"Ivars Āboltiņš",15,556,388,14702," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
9,"Aleksandrs Lielmežs",12,631,467,14698," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
10,"Gunārs Resnais",8,691,566,14659," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
11,"Juris Bērziņš",7,546,442,14638," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
12,"Jānis Ruško",6,615,625,14524," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
13,"Mārtiņš Treimanis",23,407,429,14512," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
14,"Austra Gailīte",11,463,517,14480," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
15,"Māris Jansons",19,348,410,14472," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
16,"Andrejs Kārklis",20,325,425,14434," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
17,"Normunds Audzišs",21,294,434,14394," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
18,"Anita Stankēviča",18,637,779,14392," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
19,"Māris Sloka",10,301,451,14384," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
20,"Juris Tukišs",17,309,466,14377," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
21,"Veronika Jurča",22,408,585,14357," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
22,"Jānis Plūmīte",14,236,452,14318," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
23,"Antonijs Zunda",4,344,581,14297," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
24,"Ligita Začesta",3,464,716,14282," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
25,"Jānis Kinna",5,1068,3342,12260," ",6,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534
1,"Anta Rugāte",2,2128,1076,12900,"ievēlēta",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
2,"Andrejs Naglis",14,1040,788,12100,"ievēlēts",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
3,"Staņislavs Šķesters",9,997,756,12089," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
4,"Valdis Lauskis",7,1271,1134,11985," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
5,"Jānis Kokins",16,1005,950,11903," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
6,"Alberts Sarkanis",3,993,939,11902," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
7,"Elmārs Rutkis",1,915,971,11792," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
8,"Pēteris Stanka",5,829,928,11749," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
9,"Juris Poikāns",12,701,826,11723," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
10,"Jāzeps Dobkevičs",11,771,918,11701," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
11,"Skaidrīte Pilāte",15,687,889,11646," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
12,"Viktors Jonāns",8,694,955,11587," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
13,"Ruta Leikuma",6,734,998,11584," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
14,"Viktors Kalāns",4,707,1073,11482," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
15,"Pēteris Znotiņš",10,532,906,11474," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
16,"Rihards Melnis",18,523,914,11457," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
17,"Jānis Krievāns",17,511,927,11432," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
18,"Aleksandrs Vorkalis",13,480,933,11395," ",6,"LZS, LKDS un Latgales DP",2,"Latgale",11848
1,"Māris Vītols",8,1566,294,12976,"ievēlēts",6,"LZS, LKDS un Latgales DP",2,"Kurzeme",11704
2,"Andris Rozentāls",1,1906,780,12830," ",6,"LZS, LKDS un Latgales DP",2,"Kurzeme",11704
3,"Tālivaldis Vēsmiņš",2,1335,354,12685," ",6,"LZS, LKDS un Latgales DP",2,"Kurzeme",11704
4,"Andris Siliņš",4,1247,303,12648," ",6,"LZS, LKDS un Latgales DP",2,"Kurzeme",11704
5,"Egils Deksnis",10,1332,405,12631," ",6,"LZS, LKDS un Latgales DP",2,"Kurzeme",11704
