"MPName","MPSurname","Saeima"
"Andris","Ameriks",5
"Georgs","Andrejevs",5
"Dzintars","Ābiķis",5
"Martijans","Bekasovs",5
"Aivars","Berķis",5
"Indulis","Bērziņš",5
"Inese","Birzniece",5
"Vilnis Edvīns","Bresis",5
"Māris","Budovskis",5
"Jānis","Bunkšs",5
"Imants","Daudišs",5
"Olga","Dreģe",5
"Aivars","Endziņš",5
"Irēna","Folkmane",5
"Andris","Glāzītis",5
"Māris","Graudiņš",5
"Oskars","Grīgs",5
"Andris","Grots",5
"Roberts","Hartvigs",5
"Juris","Janeks",5
"Raimonds","Jonītis",5
"Jānis","Jurkāns",5
"Imants","Kalniņš",5
"Lainis","Kamaldiņš",5
"Vilnis","Kazāks",5
"Ojārs","Kehris",5
"Aleksandrs","Kiršteins",5
"Jānis","Kokins",5
"Nikolajs","Krasohins",5
"Aivars","Kreituss",5
"Vilis","Krištopans",5
"Janīna","Kušnere",5
"Uldis","Lakševics",5
"Larisa","Laviņa",5
"Egils","Levits",5
"Kristiāna","Lībane",5
"Jānis","Lucāns",5
"Gunārs","Meierovics",5
"Voldemārs","Novakšānovs",5
"Andrejs","Panteļējevs",5
"Valdis ","Pavlovskis",5
"Andris","Piebalgs",5
"Aida","Prēdele",5
"Pauls","Putniņš",5
"Jānis","Ritenis",5
"Alfrēds","Rubiks",5
"Andris","Saulītis",5
"Antons","Seiksts",5
"Ivars","Silārs",5
"Juris","Sinka",5
"Dainis","Stalts",5
"Leonards","Stašs",5
"Filips","Stroganovs",5
"Zigurds","Tomiņš",5
"Guntis","Ulmanis",5
"Jānis","Vaivads",5
"Jevgēnijs","Zaščerinskis",5
"Māris","Zvaigzne",5
"Mariss","Andersons",5
"Romāns","Apsītis",5
"Aleksandrs","Bartaševičs",5
"Eduards","Berklavs",5
"Gundars","Bērziņš",5
"Valdis","Birkavs",5
"Jānis","Bordāns",5
"Olafs","Brūvers",5
"Igors","Bukovskis",5
"Alfreds","Čepānis",5
"Ilmārs","Dāliņš",5
"Pēteris","Elferts",5
"Gaļina","Fjodorova",5
"Māris","Gailis",5
"Anatolijs","Gorbunovs",5
"Ilga","Grava",5
"Māris","Grīnblats",5
"Andris","Gūtmanis",5
"Edvīns","Inkēns",5
"Aivars","Jerumanis",5
"Ernests","Jurkāns",5
"Kārlis","Jurkovskis",5
"Mārtiņš Ādams","Kalniņš",5
"Viesturs Pauls","Karnups",5
"Ēriks","Kaža",5
"Edvīns","Kide",5
"Visvaldis Varnesis","Klīve",5
"Odisejs","Kostanda",5
"Andrejs","Krastiņš",5
"Ģirts Valdis","Kristovskis",5
"Ludmila","Kuprijanova",5
"Jānis","Lagzdiņš",5
"Aristids","Lambergs",5
"Kārlis","Leiškalns",5
"Andris","Liepiņš",5
"Andris","Līgotnis",5
"Ruta","Marjaša",5
"Roberts","Milbergs",5
"Uldis","Osis",5
"Oļģerts","Pavlovskis",5
"Aleksandrs","Pētersons",5
"Aija","Poča",5
"Velta","Puriņa",5
"Gunārs","Resnais",5
"Andris","Rozentāls",5
"Anta","Rugāte",5
"Indra","Sāmīte",5
"Anna","Seile",5
"Andrejs","Siliņš",5
"Modris","Spuģis",5
"Anita","Stankēviča",5
"Jānis","Straume",5
"Pēteris","Tabūns",5
"Jānis Ārvaldis Miķelis","Tupesis",5
"Jānis","Urbanovičs",5
"Mārtiņš","Virsis",5
"Joahims","Zīgerists",5
"Alfrēds","Žīgurs",5
"Andris","Ameriks",6
"Pēteris","Apinis",6
"Jānis","Ābele",6
"Jānis","Ādamsons",6
"Aleksandrs","Bartaševičs",6
"Martijans","Bekasovs",6
"Valdis","Birkavs",6
"Ilmārs","Bišers",6
"Olafs","Brūvers",6
"Juris","Celmiņš",6
"Kārlis","Čerāns",6
"Imants","Daudišs",6
"Roberts","Dilba",6
"Juris","Dobelis",6
"Kārlis Jūlijs","Druva",6
"Indulis","Emsis",6
"Guntis","Eniņš",6
"Gunta","Gannusa",6
"Aleksandrs","Golubovs",6
"Viesturs","Gredzens",6
"Ervids","Grinovskis",6
"Edmunds","Grīnbergs",6
"Māris","Grīnblats",6
"Edvīns","Inkēns",6
"Roberts","Jurdžs",6
"Jānis","Jurkāns",6
"Viktors","Kalnbērzs",6
"Jānis","Kalviņš",6
"Ēriks","Kaža",6
"Aleksandrs","Kiršteins",6
"Paulis","Kļaviņš",6
"Andrejs","Krastiņš",6
"Aivars Guntis","Kreituss",6
"Ģirts Valdis","Kristovskis",6
"Ludmila","Kuprijanova",6
"Ivars Jānis","Ķezbers",6
"Aristids Jēkabs","Lambergs",6
"Rudīte","Leitena",6
"Kristiāna","Lībane",6
"Modris","Lujāns",6
"Jānis","Mauliņš",6
"Valdis","Nagobads",6
"Andrejs","Panteļējevs",6
"Aleksandrs","Pētersons",6
"Aija","Poča",6
"Aida","Prēdele",6
"Pauls","Putniņš",6
"Andris","Rubins",6
"Māris","Rudzītis",6
"Andris","Saulītis",6
"Antons","Seiksts",6
"Juris","Sinka",6
"Viktors","Stikuts",6
"Jānis","Strods",6
"Leonards","Tenis",6
"Anatolijs","Tučs",6
"Jānis","Urbanovičs",6
"Uldis","Veldre",6
"Māris","Vītols",6
"Elmārs","Zelgalvis",6
"Ēriks","Zunda",6
"Raitis","Apalups",6
"Romāns","Apsītis",6
"Dzintars","Ābiķis",6
"Vents","Balodis",6
"Edgars","Bāns",6
"Indulis","Bērziņš",6
"Inese","Birzniece",6
"Viesturs","Boka",6
"Jānis","Bunkšs",6
"Alfreds","Čepānis",6
"Ziedonis","Čevers",6
"Oļegs","Deņisovs",6
"Viktors","Dinēvičs",6
"Vladilens","Dozorcevs",6
"Oļģerts","Dunkers",6
"Aivars","Endziņš",6
"Māris","Gailis",6
"Modris","Goba",6
"Anatolijs","Gorbunovs",6
"Ojārs","Grinbergs",6
"Oskars","Grīgs",6
"Guntars","Grīnblats",6
"Žanis","Holšteins",6
"Aigars","Jirgens",6
"Ernests","Jurkāns",6
"Juris","Kaksītis",6
"Ivars","Kalniņš",6
"Jānis","Kazāks",6
"Pēteris","Keišs",6
"Gundars","Kleinbergs",6
"Odisejs","Kostanda",6
"Ilga","Kreituse",6
"Valdis","Krisbergs",6
"Vilis","Krištopans",6
"Janīna","Kušnere",6
"Jānis","Lagzdiņš",6
"Kārlis","Leiškalns",6
"Imants","Liepa",6
"Ādolfs","Ločmelis",6
"Ruta","Marjaša",6
"Andrejs","Naglis",6
"Leopolds","Ozoliņš",6
"Normunds","Pēterkops",6
"Modris","Plāte",6
"Andrejs","Požarnovs",6
"Jānis","Priedkalns",6
"Jānis","Rāzna",6
"Jānis","Rubulis",6
"Anta","Rugāte",6
"Atis","Sausnītis",6
"Anna","Seile",6
"Leonards","Stašs",6
"Jānis","Straume",6
"Pēteris","Tabūns",6
"Andris","Tomašūns",6
"Dainis","Turlais",6
"Gundars","Valdmanis",6
"Juris Galerijs","Vidiņš",6
"Juris","Zaķis",6
"Roberts","Zīle",6
"Mariss","Andersons",7
"Dzintars","Ābiķis",7
"Egils","Baldzēns",7
"Aija","Barča",7
"Martijans","Bekasovs",7
"Gundars","Bērziņš",7
"Mārtiņš","Bičevskis",7
"Inese","Birzniece",7
"Gundars","Bojārs",7
"Jānis","Bunkšs",7
"Boriss","Cilevičs",7
"Helmuts","Čibulis",7
"Guntis","Dambergs",7
" Oļegs","Deņisovs",7
"Silvija","Dreimane",7
"Jānis","Esta",7
"Jānis","Gaigals",7
"Ilmārs","Geige",7
"Silva","Golde",7
"Anatolijs","Gorbunovs",7
"Oskars","Grīgs",7
"Valdis","Ģīlis",7
"Roberts","Jurdžs",7
"Arnis","Kalniņš",7
"Aigars","Kalvītis",7
"Vanda","Kezika",7
"Andrejs","Klementjevs",7
"Ģirts Valdis","Kristovskis",7
"Dzintars","Kudums",7
"Palmira","Lāce",7
"Jānis","Lagzdiņš",7
"Viola","Lāzo",7
"Jānis","Leja",7
"Modris","Lujāns",7
"Pāvels","Maksimovs",7
"Miroslavs","Mitrofanovs",7
"Vineta","Muižniece",7
"Jānis","Ozoliņš",7
"Andrejs","Panteļējevs",7
"Krišjānis","Peters",7
"Rihards","Pīks",7
"Aija","Poča",7
"Aida","Prēdele",7
"Boriss","Rastopirkins",7
"Romualds","Ražuks",7
"Normunds","Rudevičs",7
"Pēteris","Salkazanovs",7
"Mareks","Segliņš",7
"Anna","Seile",7
" Juris","Sinka",7
"Juris","Sokolovskis",7
"Igors","Solovjovs",7
"Jēkabs","Sproģis",7
"Jevgenija","Stalidzāne",7
"Dainis","Stalts",7
"Jānis","Straume",7
"Andris","Šķēle",7
"Jāzeps","Šņepsts",7
"Aivars","Tiesnesis",7
"Ingrīda","Ūdre",7
"Žanete","Vasaraudze",7
"Juris Galerijs","Vidiņš",7
"Māris","Vītols",7
"Monika","Zīle",7
"Ērika","Zommere",7
"Pēteris","Apinis",7
"Jānis","Ādamsons",7
"Vents","Balodis",7
"Aleksandrs","Bartaševičs",7
"Andris","Bērziņš (Zemgale)",7
"Indulis","Bērziņš",7
"Valdis","Birkavs",7
"Aivars","Boja",7
"Leons","Bojārs",7
"Imants","Burvis",7
"Jānis","Čevers",7
"Juris","Dalbiņš",7
"Helēna","Demakova",7
"Juris","Dobelis",7
"Mārtiņš","Emsiņš",7
"Gunārs","Freimanis",7
"Jānis","Gailis",7
"Ivars","Godmanis",7
"Aleksandrs","Golubovs",7
"Kārlis","Greiškalns",7
"Māris","Grīnblats",7
"Edvīns","Inkēns",7
"Jānis","Jurkāns",7
"Imants","Kalniņš",7
"Tadeušs","Ketlers",7
"Aleksandrs","Kiršteins",7
"Guntars","Krasts",7
"Vilis","Krištopans",7
"Rišards","Labanovskis",7
"Jānis","Lāčplēsis",7
"Valdis","Lauskis",7
"Kārlis","Leiškalns",7
"Kristiāna","Lībane",7
"Vladimirs","Makarovs",7
"Romāns","Mežeckis",7
"Linards","Muciņš",7
"Astrīda","Mūrniece",7
"Vaira","Paegle",7
"Raimonds","Pauls",7
"Karina","Pētersone",7
"Jakovs","Pliners",7
"Andrejs","Požarnovs",7
"Dzintars","Rasnačs",7
"Arnis","Razminovičs",7
"Kaspars","Riekstiņš",7
"Anta","Rugāte",7
"Ņina","Savčenko",7
"Antons","Seiksts",7
"Jānis","Siliņš",7
"Atis","Slakteris",7
"Helēna","Soldatjonoka",7
"Māris","Sprindžuks",7
"Oskars","Spurdziņš",7
"Imants","Stirāns",7
"Leonards","Stašs",7
"Jānis","Škapars",7
"Ainārs","Šlesers",7
"Pēteris","Tabūns",7
"Oļegs","Tolmačovs",7
